fecha,producto,cantidad,precio_unitario
2023-10-3,Producto-3,7,105.26
2023-10-24,Producto-10,65,94.87
2023-10-6,Producto-2,71,161.8
2023-10-1,Producto-1,96,97.13
2023-10-15,Producto-9,61,30.94
2023-10-16,Producto-7,5,198.4
2023-10-14,Producto-8,2,98.96
2023-10-25,Producto-9,78,155.67
2023-10-29,Producto-1,37,117.24
2023-10-22,Producto-10,41,102.57
2023-10-31,Producto-2,34,63.83
2023-10-10,Producto-2,76,95.98
2023-10-31,Producto-10,91,148.05
2023-10-17,Producto-2,60,106.79
2023-10-9,Producto-5,8,39.21
2023-10-5,Producto-4,49,86.09
2023-10-12,Producto-10,84,115.23
2023-10-25,Producto-10,15,174.4
2023-10-28,Producto-10,8,85.36
2023-10-28,Producto-4,43,79.37
2023-10-23,Producto-2,8,163.88
2023-10-9,Producto-9,50,132.57
2023-10-19,Producto-5,33,148.77
2023-10-27,Producto-2,38,99.83
2023-10-16,Producto-1,7,86.22
2023-10-30,Producto-5,49,90.07
2023-10-6,Producto-8,51,183.97
2023-10-1,Producto-8,21,112.18
2023-10-25,Producto-6,64,45.16
2023-10-16,Producto-1,5,48.26
2023-10-15,Producto-3,44,187.26
2023-10-17,Producto-1,40,163.22
2023-10-21,Producto-1,98,18.31
2023-10-30,Producto-4,65,195.05
2023-10-30,Producto-6,85,83.03
2023-10-14,Producto-10,100,92.04
2023-10-3,Producto-4,56,185.61
2023-10-19,Producto-9,59,76.11
2023-10-1,Producto-8,46,161.96
2023-10-30,Producto-5,36,179.04
2023-10-3,Producto-6,70,34.95
2023-10-10,Producto-5,77,196.16
2023-10-31,Producto-2,31,112.72
2023-10-8,Producto-2,89,183.35
2023-10-16,Producto-4,17,111.99
2023-10-26,Producto-7,8,93.92
2023-10-20,Producto-1,84,128.76
2023-10-22,Producto-3,61,110.58
2023-10-3,Producto-3,83,64.85
2023-10-29,Producto-8,11,23.93
2023-10-17,Producto-3,52,124.42
2023-10-8,Producto-4,66,39.06
2023-10-27,Producto-7,22,184.63
2023-10-19,Producto-1,35,164.98
2023-10-10,Producto-1,33,126.21
2023-10-26,Producto-9,78,119.88
2023-10-6,Producto-4,70,150.08
2023-10-26,Producto-2,57,136.49
2023-10-2,Producto-8,84,196.62
2023-10-1,Producto-1,96,85.0
2023-10-26,Producto-9,50,22.43
2023-10-26,Producto-5,71,107.42
2023-10-13,Producto-3,30,89.87
2023-10-20,Producto-8,85,17.85
2023-10-6,Producto-8,75,80.19
2023-10-28,Producto-2,66,35.9
2023-10-24,Producto-6,49,188.88
2023-10-25,Producto-10,95,192.87
2023-10-17,Producto-8,11,101.53
2023-10-1,Producto-2,29,19.58
2023-10-28,Producto-7,53,110.4
2023-10-11,Producto-4,54,56.82
2023-10-31,Producto-7,64,47.55
2023-10-19,Producto-4,1,160.62
2023-10-11,Producto-5,74,50.25
2023-10-24,Producto-4,91,195.34
2023-10-30,Producto-3,55,172.1
2023-10-11,Producto-1,88,142.25
2023-10-14,Producto-2,82,105.03
2023-10-2,Producto-2,6,182.53
2023-10-6,Producto-4,63,166.8
2023-10-2,Producto-7,80,152.44
2023-10-22,Producto-8,20,161.38
2023-10-26,Producto-1,60,120.47
2023-10-15,Producto-10,13,74.76
2023-10-29,Producto-8,15,141.38
2023-10-1,Producto-6,16,21.49
2023-10-6,Producto-2,66,156.01
2023-10-25,Producto-5,54,184.24
2023-10-1,Producto-9,29,46.2
2023-10-28,Producto-9,9,139.5
2023-10-28,Producto-9,44,194.37
2023-10-25,Producto-3,56,188.16
2023-10-6,Producto-3,44,156.45
2023-10-1,Producto-5,48,122.75
2023-10-10,Producto-5,13,110.95
2023-10-9,Producto-5,13,83.57
2023-10-21,Producto-1,73,103.74
2023-10-23,Producto-1,63,143.87
2023-10-30,Producto-4,7,32.65
2023-10-22,Producto-3,17,177.09
2023-10-15,Producto-4,79,147.77
2023-10-13,Producto-9,49,34.1
2023-10-6,Producto-5,20,42.09
2023-10-5,Producto-6,29,76.22
2023-10-13,Producto-8,3,109.85
2023-10-6,Producto-9,1,25.24
2023-10-22,Producto-9,21,112.88
2023-10-19,Producto-7,30,65.03
2023-10-11,Producto-4,54,145.78
2023-10-31,Producto-3,54,18.36
2023-10-26,Producto-2,4,128.34
2023-10-17,Producto-4,77,151.34
2023-10-15,Producto-1,42,68.63
2023-10-20,Producto-5,78,71.05
2023-10-13,Producto-2,56,156.98
2023-10-9,Producto-9,63,94.01
2023-10-23,Producto-1,36,24.76
2023-10-30,Producto-9,22,158.24
2023-10-11,Producto-9,57,86.85
2023-10-27,Producto-6,72,26.54
2023-10-13,Producto-9,54,160.84
2023-10-10,Producto-2,84,85.88
2023-10-19,Producto-10,89,56.64
2023-10-23,Producto-6,7,44.3
2023-10-26,Producto-10,47,12.92
2023-10-10,Producto-1,88,153.43
2023-10-30,Producto-8,59,159.73
2023-10-27,Producto-9,38,106.09
2023-10-24,Producto-1,19,196.35
2023-10-1,Producto-1,81,199.95
2023-10-27,Producto-5,93,88.99
2023-10-7,Producto-8,5,140.56
2023-10-27,Producto-1,41,172.09
2023-10-21,Producto-4,32,176.41
2023-10-12,Producto-1,97,187.49
2023-10-7,Producto-5,36,14.44
2023-10-27,Producto-8,48,111.47
2023-10-10,Producto-4,40,143.66
2023-10-14,Producto-9,76,93.3
2023-10-25,Producto-5,69,110.38
2023-10-11,Producto-1,13,168.09
2023-10-27,Producto-6,89,47.59
2023-10-4,Producto-5,24,66.18
2023-10-13,Producto-8,37,149.16
2023-10-13,Producto-1,35,101.97
2023-10-16,Producto-3,58,30.4
2023-10-24,Producto-5,96,13.65
2023-10-20,Producto-8,64,123.75
2023-10-22,Producto-5,45,197.43
2023-10-23,Producto-8,46,142.37
2023-10-30,Producto-8,69,112.64
2023-10-27,Producto-2,12,16.11
2023-10-2,Producto-4,54,45.28
2023-10-6,Producto-2,87,142.95
2023-10-10,Producto-4,11,137.75
2023-10-17,Producto-1,43,33.69
2023-10-25,Producto-7,85,78.57
2023-10-30,Producto-7,8,153.99
2023-10-9,Producto-2,16,126.83
2023-10-31,Producto-10,3,51.12
2023-10-1,Producto-9,90,52.03
2023-10-10,Producto-2,2,139.37
2023-10-14,Producto-7,18,164.76
2023-10-18,Producto-10,72,157.73
2023-10-22,Producto-1,84,79.23
2023-10-13,Producto-9,19,31.4
2023-10-15,Producto-5,23,154.27
2023-10-31,Producto-9,6,78.28
2023-10-7,Producto-4,64,70.1
2023-10-24,Producto-4,78,181.5
2023-10-2,Producto-6,37,84.23
2023-10-30,Producto-10,2,179.32
2023-10-15,Producto-9,2,196.43
2023-10-10,Producto-1,90,170.65
2023-10-2,Producto-3,46,32.93
2023-10-28,Producto-5,34,66.8
2023-10-22,Producto-8,91,106.44
2023-10-26,Producto-6,46,93.53
2023-10-18,Producto-6,13,80.59
2023-10-19,Producto-2,29,160.2
2023-10-29,Producto-4,51,109.55
2023-10-7,Producto-10,65,55.05
2023-10-25,Producto-1,94,37.98
2023-10-23,Producto-8,66,34.09
2023-10-12,Producto-1,86,91.15
2023-10-1,Producto-8,38,179.27
2023-10-26,Producto-6,11,172.53
2023-10-17,Producto-5,79,142.0
2023-10-5,Producto-3,98,197.4
2023-10-18,Producto-5,67,144.86
2023-10-9,Producto-10,35,47.01
2023-10-3,Producto-5,98,153.74
2023-10-1,Producto-3,52,100.03
2023-10-2,Producto-7,31,84.98
2023-10-19,Producto-9,82,151.78
2023-10-14,Producto-9,32,177.43
2023-10-2,Producto-10,41,56.86
2023-10-8,Producto-3,90,121.59
2023-10-22,Producto-1,87,62.16
2023-10-25,Producto-6,24,61.73
2023-10-2,Producto-8,55,138.44
2023-10-17,Producto-2,14,151.45
2023-10-15,Producto-1,75,41.67
2023-10-24,Producto-3,19,190.4
2023-10-9,Producto-3,78,83.99
2023-10-24,Producto-2,94,38.25
2023-10-23,Producto-1,78,145.45
2023-10-10,Producto-7,88,172.51
2023-10-23,Producto-2,95,57.53
2023-10-1,Producto-8,75,153.74
2023-10-21,Producto-4,2,16.5
2023-10-5,Producto-2,20,135.91
2023-10-26,Producto-5,89,102.12
2023-10-28,Producto-2,27,111.57
2023-10-19,Producto-8,23,157.28
2023-10-29,Producto-9,37,184.88
2023-10-24,Producto-5,32,30.4
2023-10-20,Producto-9,82,133.68
2023-10-14,Producto-9,20,25.24
2023-10-30,Producto-4,70,133.62
2023-10-26,Producto-7,10,58.5
2023-10-3,Producto-2,4,160.67
2023-10-27,Producto-5,28,134.67
2023-10-5,Producto-7,53,163.93
2023-10-19,Producto-8,33,179.44
2023-10-13,Producto-10,79,66.38
2023-10-17,Producto-6,16,68.1
2023-10-22,Producto-6,72,31.16
2023-10-3,Producto-6,55,68.38
2023-10-16,Producto-3,31,21.88
2023-10-25,Producto-1,85,134.72
2023-10-20,Producto-4,39,67.16
2023-10-26,Producto-4,37,129.53
2023-10-31,Producto-8,39,187.5
2023-10-29,Producto-7,46,153.95
2023-10-7,Producto-4,17,77.91
2023-10-13,Producto-10,71,181.09
2023-10-28,Producto-4,41,74.4
2023-10-11,Producto-10,86,108.49
2023-10-26,Producto-6,10,117.3
2023-10-10,Producto-6,33,54.31
2023-10-21,Producto-9,29,184.71
2023-10-25,Producto-7,95,81.56
2023-10-28,Producto-8,38,167.95
2023-10-19,Producto-2,44,37.81
2023-10-11,Producto-9,26,41.63
2023-10-14,Producto-9,33,40.29
2023-10-30,Producto-2,58,111.85
2023-10-28,Producto-10,88,164.69
2023-10-21,Producto-4,75,157.53
2023-10-7,Producto-1,91,92.39
2023-10-16,Producto-1,59,123.83
2023-10-30,Producto-1,77,165.92
2023-10-11,Producto-7,23,35.12
2023-10-23,Producto-4,42,64.7
2023-10-30,Producto-9,57,153.73
2023-10-9,Producto-2,75,97.83
2023-10-27,Producto-8,17,178.67
2023-10-23,Producto-1,76,188.87
2023-10-5,Producto-6,86,197.93
2023-10-29,Producto-7,30,65.73
2023-10-5,Producto-10,42,165.16
2023-10-3,Producto-5,80,62.93
2023-10-26,Producto-9,64,62.58
2023-10-22,Producto-7,67,31.02
2023-10-11,Producto-9,88,152.11
2023-10-16,Producto-8,66,40.47
2023-10-11,Producto-2,90,43.33
2023-10-6,Producto-1,13,195.47
2023-10-20,Producto-7,82,196.63
2023-10-13,Producto-2,48,163.57
2023-10-22,Producto-8,37,85.96
2023-10-12,Producto-8,46,11.36
2023-10-10,Producto-10,79,81.8
2023-10-4,Producto-4,59,107.08
2023-10-22,Producto-9,53,162.81
2023-10-19,Producto-4,100,43.82
2023-10-17,Producto-5,14,196.66
2023-10-10,Producto-4,83,160.9
2023-10-16,Producto-7,94,113.34
2023-10-9,Producto-1,97,39.71
2023-10-30,Producto-2,46,112.97
2023-10-15,Producto-6,74,85.21
2023-10-19,Producto-6,58,63.79
2023-10-17,Producto-1,12,24.41
2023-10-3,Producto-3,48,159.68
2023-10-18,Producto-5,87,143.8
2023-10-9,Producto-8,10,25.61
2023-10-21,Producto-5,98,160.95
2023-10-12,Producto-9,77,32.38
2023-10-12,Producto-10,20,188.93
2023-10-8,Producto-3,75,44.22
2023-10-16,Producto-1,63,60.2
2023-10-24,Producto-2,73,128.79
2023-10-23,Producto-10,68,130.69
2023-10-6,Producto-2,54,64.54
2023-10-15,Producto-2,40,118.81
2023-10-23,Producto-6,43,63.75
2023-10-27,Producto-3,79,85.26
2023-10-19,Producto-9,23,102.36
2023-10-16,Producto-9,10,120.81
2023-10-20,Producto-2,22,134.11
2023-10-12,Producto-5,1,145.26
2023-10-6,Producto-7,5,148.84
2023-10-20,Producto-10,1,72.64
2023-10-10,Producto-10,36,143.22
2023-10-2,Producto-8,68,24.08
2023-10-30,Producto-8,89,162.21
2023-10-21,Producto-2,94,14.8
2023-10-21,Producto-5,91,28.59
2023-10-11,Producto-6,85,55.96
2023-10-9,Producto-10,11,42.9
2023-10-20,Producto-3,55,94.24
2023-10-29,Producto-10,55,88.71
2023-10-20,Producto-3,87,180.66
2023-10-27,Producto-6,52,14.77
2023-10-22,Producto-4,63,25.04
2023-10-28,Producto-8,18,18.91
2023-10-26,Producto-9,51,116.03
2023-10-24,Producto-8,46,168.0
2023-10-4,Producto-5,89,60.32
2023-10-23,Producto-7,66,20.58
2023-10-15,Producto-8,65,80.69
2023-10-7,Producto-9,70,51.15
2023-10-17,Producto-8,72,72.89
2023-10-9,Producto-9,73,12.01
2023-10-22,Producto-8,22,27.58
2023-10-18,Producto-4,87,24.89
2023-10-20,Producto-5,45,127.28
2023-10-20,Producto-1,3,82.54
2023-10-20,Producto-3,67,78.83
2023-10-8,Producto-7,11,32.57
2023-10-29,Producto-10,75,174.89
2023-10-28,Producto-9,65,169.23
2023-10-28,Producto-4,51,29.57
2023-10-11,Producto-4,2,198.18
2023-10-21,Producto-6,63,52.11
2023-10-31,Producto-4,93,132.81
2023-10-4,Producto-8,39,62.1
2023-10-20,Producto-5,63,133.72
2023-10-25,Producto-5,24,22.41
2023-10-19,Producto-9,83,198.02
2023-10-1,Producto-5,67,50.15
2023-10-5,Producto-6,2,44.46
2023-10-20,Producto-4,56,36.43
2023-10-20,Producto-5,47,47.95
2023-10-22,Producto-10,38,198.9
2023-10-28,Producto-2,7,197.06
2023-10-17,Producto-8,50,37.07
2023-10-2,Producto-1,10,104.62
2023-10-7,Producto-8,82,105.68
2023-10-28,Producto-4,71,15.26
2023-10-17,Producto-8,96,63.55
2023-10-30,Producto-5,25,144.94
2023-10-22,Producto-8,3,81.61
2023-10-19,Producto-6,40,174.74
2023-10-8,Producto-5,60,17.99
2023-10-16,Producto-8,88,132.91
2023-10-15,Producto-7,92,77.29
2023-10-24,Producto-4,14,167.41
2023-10-13,Producto-5,59,47.39
2023-10-9,Producto-2,98,199.14
2023-10-20,Producto-9,36,81.73
2023-10-14,Producto-9,65,15.88
2023-10-19,Producto-6,45,60.02
2023-10-22,Producto-10,1,80.62
2023-10-6,Producto-9,63,123.11
2023-10-31,Producto-10,92,31.57
2023-10-15,Producto-7,46,57.06
2023-10-4,Producto-2,82,94.26
2023-10-14,Producto-7,83,195.29
2023-10-19,Producto-6,53,134.08
2023-10-16,Producto-2,3,106.44
2023-10-22,Producto-5,80,80.63
2023-10-31,Producto-8,65,94.76
2023-10-7,Producto-4,44,176.35
2023-10-4,Producto-2,4,62.54
2023-10-28,Producto-1,61,77.33
2023-10-15,Producto-1,59,40.59
2023-10-3,Producto-10,57,188.28
2023-10-13,Producto-5,92,39.84
2023-10-15,Producto-4,21,146.3
2023-10-31,Producto-3,3,47.77
2023-10-6,Producto-3,40,27.6
2023-10-9,Producto-5,70,81.07
2023-10-30,Producto-10,6,97.51
2023-10-25,Producto-2,78,177.92
2023-10-23,Producto-2,28,82.57
2023-10-25,Producto-7,26,132.86
2023-10-31,Producto-7,90,123.01
2023-10-14,Producto-1,72,147.41
2023-10-29,Producto-3,66,49.81
2023-10-21,Producto-9,6,50.85
2023-10-11,Producto-3,44,47.69
2023-10-6,Producto-9,38,100.98
2023-10-7,Producto-10,22,176.1
2023-10-24,Producto-6,30,159.13
2023-10-23,Producto-2,78,25.25
2023-10-23,Producto-8,84,15.44
2023-10-26,Producto-7,97,35.35
2023-10-10,Producto-10,94,93.58
2023-10-28,Producto-3,50,154.55
2023-10-16,Producto-10,98,72.7
2023-10-30,Producto-2,96,130.22
2023-10-29,Producto-10,47,190.97
2023-10-30,Producto-8,11,66.47
2023-10-2,Producto-3,9,48.97
2023-10-25,Producto-7,95,11.6
2023-10-6,Producto-10,35,30.02
2023-10-12,Producto-7,17,181.2
2023-10-24,Producto-2,40,163.31
2023-10-5,Producto-10,91,62.7
2023-10-20,Producto-6,2,177.64
2023-10-20,Producto-5,25,160.09
2023-10-26,Producto-4,60,173.66
2023-10-31,Producto-7,53,101.48
2023-10-18,Producto-9,19,193.2
2023-10-3,Producto-6,65,64.87
2023-10-10,Producto-6,69,42.97
2023-10-26,Producto-4,94,88.43
2023-10-5,Producto-6,81,161.17
2023-10-6,Producto-9,46,139.01
2023-10-27,Producto-6,89,190.19
2023-10-2,Producto-1,46,76.79
2023-10-4,Producto-3,59,16.19
2023-10-24,Producto-7,88,135.75
2023-10-4,Producto-10,20,35.83
2023-10-2,Producto-8,36,43.31
2023-10-23,Producto-3,80,133.67
2023-10-12,Producto-5,66,137.79
2023-10-20,Producto-5,58,62.96
2023-10-26,Producto-8,59,44.38
2023-10-30,Producto-5,54,67.42
2023-10-2,Producto-9,11,126.83
2023-10-31,Producto-7,93,76.89
2023-10-2,Producto-10,25,86.28
2023-10-8,Producto-6,81,45.14
2023-10-5,Producto-1,51,40.22
2023-10-15,Producto-2,59,161.9
2023-10-2,Producto-1,88,144.25
2023-10-9,Producto-10,48,85.47
2023-10-24,Producto-1,16,49.19
2023-10-29,Producto-8,11,120.01
2023-10-26,Producto-9,30,198.83
2023-10-8,Producto-7,45,67.05
2023-10-22,Producto-4,70,75.86
2023-10-20,Producto-4,22,172.65
2023-10-17,Producto-4,21,188.93
2023-10-7,Producto-9,85,79.21
2023-10-12,Producto-2,20,23.36
2023-10-7,Producto-5,88,86.53
2023-10-14,Producto-3,1,185.35
2023-10-8,Producto-1,2,127.14
2023-10-31,Producto-9,22,36.83
2023-10-19,Producto-10,42,64.62
2023-10-11,Producto-5,86,181.42
2023-10-18,Producto-4,66,58.1
2023-10-12,Producto-3,39,163.12
2023-10-14,Producto-1,19,88.52
2023-10-8,Producto-9,77,61.51
2023-10-18,Producto-10,6,11.38
2023-10-3,Producto-6,39,159.62
2023-10-12,Producto-5,9,175.6
2023-10-9,Producto-10,54,131.79
2023-10-30,Producto-2,57,46.17
2023-10-30,Producto-3,60,88.41
2023-10-6,Producto-10,38,27.53
2023-10-6,Producto-9,52,81.12
2023-10-27,Producto-2,88,176.11
2023-10-23,Producto-10,3,19.42
2023-10-17,Producto-8,81,136.75
2023-10-15,Producto-10,51,160.78
2023-10-27,Producto-9,39,59.36
2023-10-4,Producto-3,91,105.15
2023-10-2,Producto-6,26,178.9
2023-10-28,Producto-8,29,165.65
2023-10-11,Producto-9,38,173.39
2023-10-3,Producto-5,42,176.27
2023-10-6,Producto-4,53,163.65
2023-10-25,Producto-1,32,144.42
2023-10-8,Producto-3,28,119.24
2023-10-2,Producto-7,27,91.23
2023-10-19,Producto-8,68,62.04
2023-10-5,Producto-1,13,16.97
2023-10-16,Producto-1,41,16.04
2023-10-2,Producto-7,79,27.68
2023-10-2,Producto-10,8,36.75
2023-10-30,Producto-10,4,190.17
2023-10-20,Producto-2,63,29.89
2023-10-20,Producto-8,75,146.24
2023-10-15,Producto-7,34,39.3
2023-10-4,Producto-7,80,134.53
2023-10-30,Producto-3,19,55.4
2023-10-3,Producto-6,27,185.83
2023-10-31,Producto-10,65,60.35
2023-10-27,Producto-5,85,23.86
2023-10-6,Producto-9,18,114.19
2023-10-14,Producto-3,99,69.72
2023-10-20,Producto-1,85,170.77
2023-10-19,Producto-9,11,73.38
2023-10-12,Producto-10,47,78.59
2023-10-25,Producto-5,94,165.49
2023-10-7,Producto-6,4,26.74
2023-10-11,Producto-10,63,196.97
2023-10-29,Producto-1,51,142.64
2023-10-21,Producto-5,51,122.89
2023-10-23,Producto-8,47,197.3
2023-10-23,Producto-5,24,136.64
2023-10-26,Producto-9,55,49.16
2023-10-29,Producto-9,70,146.58
2023-10-18,Producto-8,90,165.54
2023-10-31,Producto-5,76,15.67
2023-10-16,Producto-9,49,130.48
2023-10-28,Producto-7,86,147.13
2023-10-18,Producto-2,45,13.09
2023-10-21,Producto-10,34,56.88
2023-10-28,Producto-5,57,165.52
2023-10-12,Producto-8,39,55.91
2023-10-12,Producto-9,69,104.17
2023-10-30,Producto-8,82,38.69
2023-10-1,Producto-7,1,143.55
2023-10-9,Producto-4,80,173.39
2023-10-16,Producto-5,74,132.35
2023-10-31,Producto-9,68,151.99
2023-10-14,Producto-5,19,130.18
2023-10-3,Producto-6,99,83.18
2023-10-30,Producto-10,39,52.99
2023-10-22,Producto-8,56,112.07
2023-10-28,Producto-5,94,68.43
2023-10-27,Producto-10,7,89.55
2023-10-25,Producto-2,61,36.48
2023-10-9,Producto-2,90,101.39
2023-10-1,Producto-4,51,69.54
2023-10-9,Producto-10,74,59.61
2023-10-8,Producto-8,16,158.94
2023-10-6,Producto-9,18,24.4
2023-10-20,Producto-8,34,109.28
2023-10-11,Producto-10,65,33.59
2023-10-1,Producto-3,45,159.91
2023-10-3,Producto-4,38,67.3
2023-10-16,Producto-6,53,75.05
2023-10-24,Producto-8,37,46.87
2023-10-10,Producto-4,5,34.31
2023-10-4,Producto-2,68,14.39
2023-10-16,Producto-10,11,37.64
2023-10-26,Producto-2,60,126.81
2023-10-31,Producto-9,94,81.9
2023-10-13,Producto-8,51,14.4
2023-10-10,Producto-8,67,174.25
2023-10-16,Producto-8,64,112.79
2023-10-10,Producto-10,92,29.11
2023-10-19,Producto-2,45,139.98
2023-10-28,Producto-8,71,49.04
2023-10-29,Producto-6,76,42.65
2023-10-21,Producto-4,90,181.14
2023-10-17,Producto-1,96,58.99
2023-10-14,Producto-3,87,171.77
2023-10-11,Producto-9,13,172.61
2023-10-17,Producto-1,58,153.74
2023-10-20,Producto-7,46,188.01
2023-10-30,Producto-8,71,13.2
2023-10-23,Producto-1,23,176.45
2023-10-22,Producto-6,88,139.33
2023-10-18,Producto-7,13,21.5
2023-10-15,Producto-10,10,145.76
2023-10-30,Producto-2,83,191.09
2023-10-16,Producto-3,6,190.84
2023-10-9,Producto-3,10,47.79
2023-10-9,Producto-10,36,166.91
2023-10-28,Producto-5,98,122.02
2023-10-26,Producto-1,9,113.47
2023-10-11,Producto-6,37,139.03
2023-10-20,Producto-9,73,59.18
2023-10-25,Producto-5,8,29.33
2023-10-12,Producto-4,50,65.65
2023-10-26,Producto-1,91,92.86
2023-10-24,Producto-10,6,50.63
2023-10-18,Producto-9,97,86.86
2023-10-2,Producto-10,83,96.94
2023-10-19,Producto-9,51,169.05
2023-10-18,Producto-8,8,178.63
2023-10-1,Producto-10,66,118.29
2023-10-4,Producto-4,100,161.6
2023-10-12,Producto-6,88,136.48
2023-10-25,Producto-5,97,24.17
2023-10-25,Producto-8,75,32.4
2023-10-17,Producto-7,91,29.78
2023-10-22,Producto-9,97,71.62
2023-10-13,Producto-6,62,181.37
2023-10-25,Producto-6,31,74.7
2023-10-25,Producto-7,62,167.83
2023-10-17,Producto-7,4,120.34
2023-10-24,Producto-1,9,118.4
2023-10-21,Producto-5,72,32.49
2023-10-19,Producto-8,37,104.36
2023-10-6,Producto-6,50,54.34
2023-10-14,Producto-6,99,80.97
2023-10-20,Producto-4,56,64.93
2023-10-26,Producto-1,15,55.19
2023-10-16,Producto-1,50,170.15
2023-10-10,Producto-3,39,160.5
2023-10-12,Producto-2,26,43.04
2023-10-9,Producto-5,77,126.5
2023-10-16,Producto-1,45,102.29
2023-10-27,Producto-1,50,61.6
2023-10-11,Producto-9,62,58.33
2023-10-22,Producto-7,91,184.21
2023-10-30,Producto-10,27,181.95
2023-10-27,Producto-1,64,159.3
2023-10-22,Producto-9,40,21.51
2023-10-23,Producto-7,3,140.41
2023-10-18,Producto-4,84,100.74
2023-10-3,Producto-3,35,57.11
2023-10-17,Producto-9,66,31.72
2023-10-12,Producto-1,92,157.9
2023-10-3,Producto-8,91,178.9
2023-10-15,Producto-9,6,120.0
2023-10-6,Producto-3,27,118.72
2023-10-15,Producto-6,50,145.83
2023-10-12,Producto-3,89,177.54
2023-10-28,Producto-9,89,100.09
2023-10-14,Producto-6,1,87.08
2023-10-2,Producto-8,26,17.73
2023-10-21,Producto-6,99,47.46
2023-10-16,Producto-3,1,57.21
2023-10-18,Producto-2,50,138.17
2023-10-20,Producto-6,33,191.12
2023-10-21,Producto-1,78,198.04
2023-10-10,Producto-10,61,112.17
2023-10-15,Producto-6,81,70.16
2023-10-24,Producto-9,15,96.8
2023-10-26,Producto-8,37,74.78
2023-10-8,Producto-6,7,120.91
2023-10-14,Producto-1,10,55.66
2023-10-4,Producto-1,28,163.59
2023-10-26,Producto-8,44,95.47
2023-10-16,Producto-2,79,192.56
2023-10-25,Producto-8,90,170.14
2023-10-14,Producto-5,43,121.61
2023-10-4,Producto-1,67,140.64
2023-10-11,Producto-4,24,81.41
2023-10-23,Producto-8,43,163.31
2023-10-24,Producto-4,63,75.88
2023-10-12,Producto-3,64,99.77
2023-10-19,Producto-5,99,181.46
2023-10-10,Producto-7,44,169.3
2023-10-19,Producto-4,31,154.83
2023-10-18,Producto-4,33,181.77
2023-10-28,Producto-4,77,23.41
2023-10-30,Producto-9,14,113.62
2023-10-14,Producto-2,18,93.74
2023-10-24,Producto-8,84,153.31
2023-10-23,Producto-2,26,45.34
2023-10-27,Producto-1,11,99.14
2023-10-30,Producto-3,66,161.64
2023-10-6,Producto-9,10,22.39
2023-10-6,Producto-10,33,25.59
2023-10-7,Producto-7,21,142.49
2023-10-22,Producto-10,86,185.01
2023-10-31,Producto-1,63,91.52
2023-10-6,Producto-5,20,138.42
2023-10-9,Producto-7,57,152.39
